IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,65,0.00
34.64.46.166,443,443,true,NRT,Asia Pacific,Tokyo,70,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,73,0.00
34.64.46.166,443,443,true,NRT,Asia Pacific,Tokyo,74,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,74,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,74,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,76,0.00
34.64.46.166,443,443,true,ICN,Asia Pacific,Seoul,77,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,86,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,155,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,156,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,156,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,157,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,157,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,157,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,157,0.00
35.247.124.181,80,80,false,SEA,North America,Seattle,158,0.00
34.105.16.237,443,80,false,SEA,North America,Seattle,158,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,158,0.00
34.105.16.237,80,80,false,SEA,North America,Seattle,160,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,160,0.00
